Rank 26,Company,Location,Turnover £m,Pre-tax Profit £m,Year End
1,SSE PLC,Perth,"  10,131.9","  1,850.9",Mar 25
2,SCOTTISH POWER UK PLC,Glasgow,"  6,583.0","  1,718.0",Dec 24
3,HARBOUR ENERGY PLC,Edinburgh,"  4,912.3",  972.4,Dec 24
4,AVIVA INSURANCE LIMITED,Perth,"  7,775.0",  480.0,Dec 24
5,BANK OF SCOTLAND PLC,Edinburgh,"  5,659.0","  1,047.0",Dec 24
6,DIAGEO SCOTLAND LIMITED,Edinburgh,"  2,229.0",  689.0,Jun 25
7,INSPIRE CATERING SCOTLAND LLP,Westhill,"  8,696.0",  232.9,Dec 23
8,WEIR GROUP PLC(THE),Glasgow,"  2,505.6",  347.1,Dec 24
9,FIRSTGROUP PLC,Aberdeen,"  5,066.3",  164.9,Mar 25
10,SCOTTISH WIDOWS GROUP LIMITED,Edinburgh,"  1,126.0","  1,008.9",Dec 24
11,ARNOLD CLARK AUTOMOBILES LIMITED,Glasgow,"  5,152.3",  120.7,Dec 24
12,ABERDEEN GROUP PLC,Edinburgh,"  1,305.0",  251.0,Dec 24
13,CHIVAS BROTHERS INTERNATIONAL LIMITED,Dumbarton,"  1,205.0",  259.4,Jun 24
14,THE EDRINGTON GROUP LIMITED,Glasgow,"  1,068.7",  257.7,Mar 25
15,NEO NEXT ENERGY LIMITED,Aberdeen,"  1,578.6",  127.6,Dec 24
16,GE CALEDONIAN LIMITED,Prestwick,  951.5,  310.1,Dec 24
17,STAGECOACH GROUP LIMITED,Perth,"  1,763.7",  93.5,May 25
18,THE 1887 COMPANY LIMITED,Glasgow,  895.6,  230.1,Mar 25
19,THE ROYAL BANK OF SCOTLAND PUBLIC LIMITED COMPANY,Edinburgh,"  1,065.0","  1,389.0",Dec 24
20,MILLER HOMES LIMITED,Edinburgh,"  1,054.1",  149.7,Dec 24
21,CIRRUS LOGIC INTERNATIONAL (UK) LTD,Edinburgh,"  1,458.7",  89.0,Mar 25
22,WESTON IMPORTERS LTD.,Edinburgh,"  1,724.6",  83.9,Dec 24
23,GXO LOGISTICS UK LIMITED,Edinburgh,"  2,045.4",  45.2,Dec 24
24,HEINEKEN UK LIMITED,Edinburgh,"  1,497.0",  48.0,Dec 24
25,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,Glasgow,  483.6,  159.5,Dec 24
26,PILKINGTON TECHNOLOGY MANAGEMENT LIMITED,Oban,  520.2,  109.8,Mar 25
27,BEATRICE OFFSHORE WINDFARM LIMITED,Perth,  417.0,  177.5,Mar 25
28,WHEATLEY HOUSING GROUP LIMITED,Glasgow,  516.8,  87.7,Mar 25
29,MOWI SCOTLAND LIMITED,Dunfermline,  658.3,  48.2,Dec 24
30,BAILLIE GIFFORD OVERSEAS LIMITED,Edinburgh,  480.8,  49.7,Mar 25
31,A.G. BARR P.L.C.,Glasgow,  420.4,  53.2,Jan 25
32,WALTER SCOTT & PARTNERS LIMITED,Edinburgh,  314.0,  194.7,Dec 24
33,FARMFOODS LIMITED,Glasgow,"  1,044.4",  30.5,Dec 24
34,FORTH PORTS LIMITED,Edinburgh,  334.6,  107.8,Dec 24
35,EDINBURGH AIRPORT LIMITED,Edinburgh,  314.7,  144.4,Dec 24
36,WILLIAM GRANT & SONS DISTILLERS LIMITED,Keith,  522.1,  34.2,Dec 24
37,JAMES JONES & SONS LIMITED,Larbert,  529.9,  32.8,Dec 24
38,ROBERTSON GROUP LIMITED,Elgin,  769.7,  30.5,Jun 25
39,WHYTE AND MACKAY GROUP LIMITED,Glasgow,  349.2,  61.8,Dec 24
40,VPI POWER LIMITED,Edinburgh,"  1,028.0",  23.0,Dec 24
41,GAP HOLDINGS LIMITED,Glasgow,  326.7,  40.2,Mar 25
42,N-ABLE TECHNOLOGIES LTD,Edinburgh,  371.4,  32.2,Dec 24
43,JOHN CLARK (HOLDINGS) LIMITED,Aberdeen,"  1,065.4",  19.0,Dec 24
44,CASTLE VIEW CORPORATE HOLDINGS LIMITED,Stirling,  393.8,  28.8,Mar 25
45,ETHOS ENERGY GROUP LIMITED,Aberdeen,  713.8,  18.1,Dec 24
46,OGILVIE GROUP LIMITED,Stirling,  460.9,  20.9,Jun 24
47,PARK'S OF HAMILTON (TOWNHEAD GARAGE) LIMITED,Hamilton,  862.4,  17.3,Mar 25
48,J.R. DALZIEL LIMITED,Bellshill,  279.4,  32.6,Sep 24
49,ORACLE GLOBAL SERVICES LIMITED,Linlithgow,  388.1,  21.8,May 24
50,SCOTLAND GAS NETWORKS PLC,Newbridge,  386.0,  21.0,Mar 25
51,ADVANCE CONSTRUCTION GROUP LIMITED,Bellshill,  312.5,  27.2,Mar 25
52,ROSS-SHIRE ENGINEERING LIMITED,Muir Of Ord,  307.0,  27.8,Mar 25
53,SCOTTISH WATER BUSINESS STREAM LIMITED,Edinburgh,  707.5,  16.8,Mar 25
54,AGGREKO UK LIMITED,Dumbarton,  188.9,  143.3,Dec 23
55,ENVOY CAPITAL MANAGEMENT LIMITED,Aberdeen,  189.4,  118.8,Mar 24
56,SCHUH LIMITED,Livingston,  380.8,  21.0,Feb 24
57,ITHACA ENERGY (UK) LIMITED,Aberdeen,  151.0,  891.2,Dec 24
58,PERENCO ENERGIES INTERNATIONAL LIMITED,Edinburgh,  217.6,  49.9,Dec 24
59,ENOVATE SYSTEMS LIMITED,Aberdeen,  238.7,  37.9,Dec 24
60,ADOBE SYSTEMS EUROPE LIMITED,Edinburgh,  311.9,  24.2,Nov 24
61,CALA GROUP LIMITED,Edinburgh,"  1,235.8",  13.4,Dec 24
62,HARPERCOLLINS PUBLISHERS LIMITED,Glasgow,  271.0,  28.8,Jun 24
63,LAST MILE INFRASTRUCTURE LIMITED,Glasgow,  191.9,  66.5,Mar 25
64,RWG (REPAIR & OVERHAULS) LIMITED,Aberdeen,  236.6,  32.7,Dec 24
65,EASTERN HOLDINGS LIMITED,Broxburn,  920.8,  13.3,Dec 24
66,BIORELIANCE LTD.,Aberdeen,  173.3,  52.9,Dec 24
67,DINGBRO LIMITED,Aberdeen,  239.5,  25.5,Sep 24
68,GRAY & ADAMS HOLDINGS LIMITED,Fraserburgh,  245.6,  25.7,May 25
69,GLASGOW AIRPORT LIMITED,Paisley,  144.6,  99.4,Dec 24
70,BALMORAL GROUP HOLDINGS LIMITED,Aberdeen,  202.4,  32.1,Mar 25
71,SPRINGFIELD PROPERTIES PLC,Elgin,  280.6,  19.0,May 25
72,MACFARLANE GROUP PLC,Glasgow,  270.4,  20.9,Dec 24
73,ASCO UK LIMITED,Aberdeen,  342.6,  16.1,Dec 24
74,ALBERT BARTLETT & SONS (AIRDRIE) LIMITED,Airdrie,  338.2,  16.0,May 25
75,SERICA ENERGY CHINOOK LIMITED,Aberdeen,  195.8,  30.4,Dec 24
76,CCG (SCOTLAND) LIMITED,Glasgow,  213.7,  25.7,Mar 25
77,THE MALCOLM GROUP LIMITED,Paisley,  247.6,  21.1,Jan 25
78,JPMORGAN FUNDS LIMITED,Edinburgh,  215.6,  25.1,Dec 24
79,HILTON WORLDWIDE LIMITED,Glasgow,  231.1,  22.0,Dec 24
80,D.C. THOMSON & COMPANY LIMITED,Dundee,  184.0,  31.0,Mar 25
81,R.J. MCLEOD (CONTRACTORS) LIMITED,Glasgow,  192.2,  26.8,Oct 23
82,THE ALBEX GROUP LIMITED,Paisley,  397.3,  12.6,Dec 24
83,HELIX WELL OPS (U.K.) LIMITED,Aberdeen,  166.8,  31.2,Dec 24
84,CELTIC PLC,Glasgow,  143.6,  45.7,Jun 25
85,ALLIED VEHICLES LIMITED,Glasgow,  267.9,  17.4,Apr 24
86,BROWNS FOOD GROUP LIMITED,Sanquhar,  251.7,  17.6,Dec 24
87,BFG (HOLDINGS) LIMITED,Sanquhar,  251.7,  17.6,Dec 24
88,VESTAS-CELTIC WIND TECHNOLOGY LTD.,Edinburgh,  339.7,  12.7,Dec 24
89,KEYLINE CIVILS SPECIALIST LIMITED,Glasgow,  489.0,  10.6,Dec 24
90,ROBERT BOSCH LIMITED,Glenrothes,  494.4,  10.1,Dec 24
91,VASCUTEK LIMITED,Renfrew,  159.1,  27.7,Mar 25
92,BRODIES LLP,Edinburgh,  126.7,  51.4,Apr 25
93,TARGET HEALTHCARE GROUP HOLDINGS LIMITED,Glasgow,  249.3,  7.9,Dec 24
94,JOHN DEERE LIMITED,Edinburgh,  273.1,  13.9,Oct 24
95,SHIN-ETSU HANDOTAI EUROPE LIMITED,Livingston,  284.3,  13.4,Dec 24
96,EMTELLE UK LIMITED,Hawick,  134.8,  33.8,Dec 24
97,WALKER'S SHORTBREAD LTD,Aberlour,  201.0,  18.1,Dec 24
98,ROHR AERO SERVICES LIMITED,Prestwick,  139.5,  30.7,Dec 24
99,2 AGRICULTURE LIMITED,Newbridge,  450.0,  9.7,Dec 24
100,CHARLES RIVER LABORATORIES EDINBURGH LIMITED,Tranent,  135.4,  29.1,Dec 24
101,COOKE AQUACULTURE UK HOLDINGS LIMITED,Glasgow,  233.1,  15.4,Dec 24
102,KENT FOODS LIMITED,Paisley,  336.3,  10.7,Dec 24
103,OPTOS PUBLIC LIMITED COMPANY,Dunfermline,  134.9,  27.8,Mar 25
104,LUNAR FISHING COMPANY LIMITED,Peterhead,  116.0,  36.9,Dec 24
105,DOF SUBSEA UK LIMITED,Aberdeen,  165.3,  17.9,Dec 24
106,VF NORTHERN EUROPE LIMITED,Edinburgh,  321.5,  9.9,Mar 25
107,ARCHER (UK) LIMITED,Aberdeen,  157.4,  18.7,Dec 24
108,STV TELEVISION LIMITED,Glasgow,  188.3,  15.9,Dec 24
109,QTS GROUP LTD.,Strathaven,  162.5,  16.3,Sep 25
110,MCLAUGHLIN & HARVEY CONSTRUCTION LIMITED,Bellshill,  178.3,  15.2,Jun 25
111,LOGANAIR LIMITED,Paisley,  253.1,  11.0,Mar 25
112,CRANEWARE PLC,Edinburgh,  150.0,  17.5,Jun 25
113,BAM FM LIMITED,Glasgow,  122.3,  22.3,Dec 24
114,DCM (OPTICAL HOLDINGS) LIMITED,Glasgow,  111.3,  23.2,Dec 24
115,BURNESS PAULL LLP,Edinburgh,  93.5,  35.9,Mar 25
116,ETHIGEN LIMITED,Glasgow,  267.4,  8.8,Mar 24
117,ALLIANCE WITAN PLC,Dundee,  72.8,  502.6,Dec 24
118,GEORGE LESLIE LIMITED,Glasgow,  134.4,  16.1,Mar 25
119,FUGRO GB (NORTH) MARINE LIMITED,Aberdeen,  209.0,  10.3,Dec 24
120,HIGHLAND FUELS LIMITED,Aberdeen,  359.0,  7.1,Dec 24
121,JAMES HOWDEN & COMPANY LIMITED,Renfrew,  99.8,  24.4,Dec 24
122,IAN MACLEOD DISTILLERS LIMITED,Broxburn,  128.3,  15.6,Sep 24
123,BIOMAR LIMITED,Grangemouth,  183.9,  10.6,Dec 24
124,JOHNSTON FUELS LIMITED,Bathgate,  231.8,  8.4,Dec 24
125,SSF SHETLAND LIMITED,Stirling,  119.5,  15.5,Dec 24
126,VETS NOW EMERGENCY LIMITED,Dunfermline,  115.0,  16.2,Sep 24
127,SHEPHERD AND WEDDERBURN LLP,Edinburgh,  78.3,  36.1,Apr 25
128,JAMES WALKER (LEITH) LIMITED,Livingston,  116.3,  14.6,Mar 25
129,JOHNSTON CARMICHAEL LLP,Aberdeen,  75.7,  38.5,May 25
130,MCQUEENS DAIRIES LTD,Glasgow,  130.0,  12.3,Jul 25
131,KETTLE PRODUCE LIMITED,Cupar,  191.3,  9.2,Jun 24
132,DAVID MACBRAYNE LIMITED,Gourock,  328.9,  6.2,Mar 25
133,GLENRATH FARMS LTD.,West Linton,  91.0,  21.4,May 24
134,HOWCO GROUP PLC,Glasgow,  152.2,  9.8,Mar 25
135,OILFAST HOLDINGS LIMITED,Motherwell,  209.6,  7.9,Jun 25
136,SCOTSMAN HOLDINGS PLC,Glasgow,  174.7,  8.7,Mar 25
137,SINOMINE SPECIALTY FLUIDS LIMITED,Aberdeen,  70.9,  49.0,Dec 24
138,CLYDEPORT OPERATIONS LIMITED,Glasgow,  72.0,  40.4,Mar 25
139,MURRAY CAPITAL HOLDINGS LIMITED,Edinburgh,  91.2,  18.1,Jun 25
140,SPECIALIST CARS (ABERDEEN) LIMITED,Aberdeen,  363.2,  5.7,Dec 24
141,FIRST SENTIER INVESTORS (UK) IM LIMITED,Edinburgh,  87.7,  18.9,Dec 24
142,FUTURE  TECHNOLOGY DEVICES INTERNATIONAL LIMITED,Glasgow,  67.3,  48.6,Dec 23
143,CALMAC FERRIES LIMITED,Gourock,  329.4,  5.7,Mar 25
144,FORSYTHS LIMITED,Aberlour,  100.7,  13.7,Oct 24
145,CAPRICORN ENERGY PLC,Edinburgh,  117.9,  11.1,Dec 24
146,PLEXUS CORP (UK) LIMITED,Kelso,  84.8,  17.8,Sep 24
147,PENTLAND MOTOR COMPANY LIMITED,Aberdeen,  277.1,  6.0,Dec 24
148,FARNE SALMON & TROUT LIMITED,Duns,  119.0,  10.0,Jun 24
149,TILLICOULTRY QUARRIES 1931 LIMITED,Alloa,  112.1,  11.0,Mar 25
150,SCORE (EUROPE) LIMITED,Peterhead,  112.2,  11.3,Jan 25
151,WRIGHT HEALTH GROUP LIMITED,Dundee,  131.7,  8.7,Dec 24
152,MEALLMORE LIMITED,Inverness,  89.1,  15.2,Mar 25
153,J.W. GALLOWAY LIMITED,Stirling,  449.5,  4.8,Feb 23
154,HIGHLAND SPRING LIMITED,Auchterarder,  148.2,  7.6,Dec 24
